Date;Mkt-RF;SMB;HML;RF
22/2/10;   -0.05;   -0.05;    0.60;   0.000
23/2/10;   -1.24;    0.32;   -0.94;   0.000
24/2/10;    0.94;   -0.37;    0.54;   0.000
25/2/10;   -0.13;    0.22;    0.26;   0.000
26/2/10;    0.13;   -0.57;    0.42;   0.000
1/3/10;    1.20;    1.23;    0.04;   0.000
2/3/10;    0.32;    0.62;    0.19;   0.000
3/3/10;    0.09;    0.16;    0.09;   0.000
4/3/10;    0.37;    0.11;    0.20;   0.000
5/3/10;    1.43;    0.41;    0.63;   0.000
8/3/10;    0.02;    0.09;    0.30;   0.000
9/3/10;    0.21;    0.25;   -0.09;   0.000
10/3/10;    0.53;    0.07;    0.71;   0.000
11/3/10;    0.43;   -0.08;   -0.09;   0.000
12/3/10;   -0.02;    0.03;   -0.26;   0.000
15/3/10;   -0.02;   -0.32;   -0.45;   0.000
16/3/10;    0.78;   -0.15;    0.57;   0.000
17/3/10;    0.57;    0.06;    0.36;   0.000
18/3/10;   -0.10;   -0.16;   -0.57;   0.000
19/3/10;   -0.62;   -0.61;   -0.63;   0.000
22/3/10;    0.67;    0.87;    0.04;   0.000
23/3/10;    0.80;    0.34;    0.34;   0.000
24/3/10;   -0.60;   -0.63;    0.80;   0.000
25/3/10;   -0.26;   -0.46;   -0.25;   0.000
26/3/10;    0.06;   -0.11;    0.26;   0.000
29/3/10;    0.59;   -0.10;    0.20;   0.000
30/3/10;    0.04;    0.29;   -0.45;   0.000
31/3/10;   -0.36;   -0.51;    0.20;   0.000
1/4/10;    0.75;   -0.04;    0.79;   0.001
5/4/10;    0.95;    1.04;    0.85;   0.001
6/4/10;    0.19;    0.24;    0.48;   0.001
7/4/10;   -0.48;    0.19;    0.27;   0.001
8/4/10;    0.31;   -0.30;    0.36;   0.001
9/4/10;    0.66;   -0.14;    0.15;   0.001
12/4/10;    0.23;    0.27;    0.07;   0.001
13/4/10;    0.07;    0.16;   -0.07;   0.001
14/4/10;    1.24;    0.87;    1.43;   0.001
15/4/10;    0.11;    0.59;   -0.04;   0.001
16/4/10;   -1.53;    0.84;   -1.88;   0.001
19/4/10;    0.28;   -0.87;   -0.04;   0.001
20/4/10;    0.88;    0.65;    0.58;   0.001
21/4/10;   -0.06;    0.72;    0.18;   0.001
22/4/10;    0.37;    0.80;    0.54;   0.001
23/4/10;    0.70;    0.33;    0.59;   0.001
26/4/10;   -0.43;    0.49;   -0.40;   0.001
27/4/10;   -2.34;    0.12;   -1.35;   0.001
28/4/10;    0.56;   -0.74;    0.70;   0.001
29/4/10;    1.34;    0.43;    0.56;   0.001
30/4/10;   -1.72;   -0.97;   -0.88;   0.001
3/5/10;    1.36;    0.62;    0.60;   0.001
4/5/10;   -2.50;   -0.56;   -0.92;   0.001
5/5/10;   -0.75;   -0.74;   -0.59;   0.001
6/5/10;   -3.27;   -0.27;   -0.90;   0.001
7/5/10;   -1.75;   -1.30;   -0.50;   0.001
10/5/10;    4.47;    0.95;    1.21;   0.001
11/5/10;   -0.17;    1.15;   -0.14;   0.001
12/5/10;    1.63;    1.47;    0.15;   0.001
13/5/10;   -1.12;    0.32;   -0.32;   0.001
14/5/10;   -1.92;   -0.25;   -0.76;   0.001
17/5/10;    0.11;    0.07;   -0.59;   0.001
18/5/10;   -1.41;   -0.23;   -0.96;   0.001
19/5/10;   -0.63;   -0.96;    0.03;   0.001
20/5/10;   -3.99;   -0.90;   -1.19;   0.001
21/5/10;    1.44;   -0.46;    1.58;   0.001
24/5/10;   -1.19;    0.30;   -0.89;   0.001
25/5/10;   -0.03;   -0.48;    0.56;   0.001
26/5/10;   -0.35;    0.83;    0.40;   0.001
27/5/10;    3.45;    0.63;    1.61;   0.001
28/5/10;   -1.18;    0.10;   -0.68;   0.001
1/6/10;   -1.89;   -1.02;   -1.63;   0.001
2/6/10;    2.63;    0.18;    0.41;   0.001
3/6/10;    0.54;    0.72;   -0.28;   0.001
4/6/10;   -3.62;   -1.22;   -0.67;   0.001
7/6/10;   -1.52;   -1.09;   -1.01;   0.001
8/6/10;    0.91;   -1.42;    0.11;   0.001
9/6/10;   -0.46;    0.75;   -0.20;   0.001
10/6/10;    2.95;    0.38;    0.87;   0.001
11/6/10;    0.62;    0.95;    0.05;   0.001
14/6/10;   -0.06;    0.65;   -0.01;   0.001
15/6/10;    2.36;    0.07;    0.89;   0.001
16/6/10;   -0.11;   -0.19;   -0.31;   0.001
17/6/10;    0.08;   -0.14;   -0.49;   0.001
18/6/10;    0.13;   -0.03;    0.24;   0.001
21/6/10;   -0.47;   -0.55;   -0.02;   0.001
22/6/10;   -1.63;   -0.34;   -0.74;   0.001
23/6/10;   -0.29;   -0.04;    0.22;   0.001
24/6/10;   -1.65;    0.14;   -0.90;   0.001
25/6/10;    0.48;    1.03;    1.07;   0.001
28/6/10;   -0.23;   -0.02;   -0.77;   0.001
29/6/10;   -3.23;   -0.64;   -1.29;   0.001
30/6/10;   -0.98;    0.05;   -0.34;   0.001
1/7/10;   -0.40;   -0.31;   -0.43;   0.001
2/7/10;   -0.50;   -0.30;   -0.44;   0.001
6/7/10;    0.33;   -1.99;    0.11;   0.001
7/7/10;    3.17;    0.05;    0.43;   0.001
8/7/10;    1.00;    0.58;    0.00;   0.001
9/7/10;    0.81;    0.67;    0.61;   0.001
12/7/10;   -0.11;   -1.18;    0.11;   0.001
13/7/10;    1.76;    1.61;    0.63;   0.001
14/7/10;   -0.04;   -0.15;   -0.81;   0.001
15/7/10;    0.02;   -0.88;   -0.13;   0.001
16/7/10;   -2.94;   -0.55;   -0.93;   0.001
19/7/10;    0.54;   -0.16;   -0.20;   0.001
20/7/10;    1.23;    0.66;    0.05;   0.001
21/7/10;   -1.30;   -0.39;   -0.44;   0.001
22/7/10;    2.37;    1.24;    0.58;   0.001
23/7/10;    1.05;    1.45;   -0.31;   0.001
26/7/10;    1.23;    0.88;    0.15;   0.001
27/7/10;   -0.23;   -0.33;    0.35;   0.001
28/7/10;   -0.82;   -0.88;    0.04;   0.001
29/7/10;   -0.36;    0.30;    0.64;   0.001
30/7/10;    0.06;    0.05;   -0.21;   0.001
2/8/10;    2.09;   -0.55;    0.13;   0.001
3/8/10;   -0.56;   -0.38;   -0.50;   0.001
4/8/10;    0.74;    0.45;   -0.10;   0.001
5/8/10;   -0.22;   -0.86;    0.14;   0.001
6/8/10;   -0.36;   -0.16;   -0.37;   0.001
9/8/10;    0.62;    0.62;    0.08;   0.001
10/8/10;   -0.79;   -1.23;   -0.23;   0.001
11/8/10;   -2.91;   -1.08;   -0.64;   0.001
12/8/10;   -0.50;   -0.06;   -0.06;   0.001
13/8/10;   -0.47;   -0.79;    0.24;   0.001
16/8/10;    0.10;    0.93;   -0.18;   0.001
