Fecha ;Mkt-RF;SMB;HML;RF
19/2/10;    3.18;   -0.02;    1.62;   0.000
26/2/10;   -0.37;   -0.36;    0.86;   0.000
5/3/10;    3.46;    2.56;    1.18;   0.002
12/3/10;    1.18;    0.39;    0.58;   0.002
19/3/10;    0.61;   -1.12;   -0.70;   0.002
26/3/10;    0.66;    0.05;    1.16;   0.002
2/4/10;    1.02;   -0.39;    0.70;   0.003
9/4/10;    1.63;    1.11;    2.14;   0.003
16/4/10;    0.10;    2.71;   -0.57;   0.003
23/4/10;    2.19;    1.70;    1.93;   0.003
30/4/10;   -2.62;   -0.65;   -1.40;   0.003
7/5/10;   -6.78;   -2.12;   -2.17;   0.003
14/5/10;    2.80;    3.74;    0.10;   0.003
21/5/10;   -4.49;   -2.33;   -1.15;   0.003
28/5/10;    0.62;    1.36;    0.99;   0.003
4/6/10;   -2.43;   -1.42;   -2.20;   0.003
11/6/10;    2.46;   -0.43;   -0.23;   0.003
18/6/10;    2.41;    0.37;    0.34;   0.003
25/6/10;   -3.52;    0.24;   -0.39;   0.003
2/7/10;   -5.26;   -1.51;   -1.96;   0.004
9/7/10;    5.39;   -0.80;    1.17;   0.004
16/7/10;   -1.36;   -1.20;   -1.17;   0.004
23/7/10;    3.91;    2.80;   -0.27;   0.004
30/7/10;   -0.13;   -0.01;    1.02;   0.004
6/8/10;    1.68;   -1.59;   -0.65;   0.003
13/8/10;   -4.01;   -2.47;   -0.56;   0.003
20/8/10;   -0.42;    1.01;   -0.99;   0.003
27/8/10;   -0.51;    1.14;   -0.18;   0.003
3/9/10;    3.85;    0.03;    0.77;   0.003
10/9/10;    0.31;   -1.31;   -0.22;   0.003
17/9/10;    1.69;    1.06;   -1.75;   0.003
24/9/10;    2.16;    1.18;   -0.91;   0.003
1/10/10;    0.11;    1.40;   -0.12;   0.003
8/10/10;    1.69;    0.60;    0.12;   0.003
15/10/10;    1.01;    1.28;   -2.01;   0.003
22/10/10;    0.46;   -0.65;    0.37;   0.003
29/10/10;    0.24;   -0.04;   -1.08;   0.003
5/11/10;    3.66;    0.98;    1.45;   0.003
12/11/10;   -2.01;    0.06;   -0.55;   0.003
19/11/10;    0.26;    0.78;   -0.60;   0.003
26/11/10;   -0.50;    2.07;   -1.58;   0.003
3/12/10;    3.00;   -0.22;    1.13;   0.003
10/12/10;    1.48;    0.97;    1.54;   0.003
17/12/10;    0.37;    0.14;   -0.94;   0.003
24/12/10;    1.05;    0.08;    1.54;   0.003
31/12/10;    0.04;   -0.61;    0.65;   0.003
7/1/11;    1.14;   -0.67;    0.40;   0.002
14/1/11;    1.76;    0.81;    0.52;   0.002
21/1/11;   -1.25;   -3.12;    0.25;   0.002
28/1/11;   -0.38;    0.76;   -0.16;   0.002
4/2/11;    2.77;    0.44;   -0.70;   0.003
11/2/11;    1.67;    0.98;    0.74;   0.003
18/2/11;    1.08;    0.40;    0.57;   0.003
25/2/11;   -1.73;    0.04;   -0.01;   0.003
4/3/11;    0.19;    0.30;   -0.70;   0.002
11/3/11;   -1.43;   -1.62;    0.89;   0.002
18/3/11;   -1.81;    0.79;    0.02;   0.002
25/3/11;    2.94;    1.40;   -1.19;   0.002
1/4/11;    1.59;    1.17;   -0.48;   0.001
8/4/11;   -0.30;   -0.25;   -0.18;   0.001
15/4/11;   -0.69;   -0.18;   -1.12;   0.001
