,Fecha,Abrir,Máx.,Mín.,Cierre,Cierre ajus.,Volumen,rendimientos
0,2010-02-22,1110.0,1112.29,1105.38,1108.01,1108.01,3814440000,0.00039382152357742104
1,2010-02-23,1107.49,1108.58,1092.18,1094.6,1094.6,4521050000,-0.012176613827442041
2,2010-02-24,1095.89,1106.42,1095.5,1105.24,1105.24,4168360000,0.00967350622884524
3,2010-02-25,1101.24,1103.5,1086.02,1102.94,1102.94,4521130000,-0.0020831642635576906
4,2010-02-26,1103.1,1107.24,1097.56,1104.49,1104.49,3945190000,0.00140434827355034
5,2010-03-01,1105.36,1116.11,1105.36,1115.71,1115.71,3847640000,0.010107283593191702
6,2010-03-02,1117.01,1123.46,1116.51,1118.31,1118.31,4134680000,0.0023276435966405676
7,2010-03-03,1119.36,1125.64,1116.58,1118.79,1118.79,3951320000,0.00042912700135530314
8,2010-03-04,1119.12,1123.73,1116.66,1122.97,1122.97,3945010000,0.003729217083266287
9,2010-03-05,1125.12,1139.38,1125.12,1138.7,1138.7,4133000000,0.0139102995934497
10,2010-03-08,1138.4,1141.05,1136.77,1138.5,1138.5,3774680000,-0.00017565431276499765
11,2010-03-09,1137.56,1145.37,1134.9,1140.45,1140.45,5185570000,0.0017113148387610981
12,2010-03-10,1140.22,1148.26,1140.09,1145.61,1145.61,5469120000,0.004514324876007007
13,2010-03-11,1143.96,1150.24,1138.99,1150.24,1150.24,4669060000,0.004033370016998894
14,2010-03-12,1151.71,1153.41,1146.97,1149.99,1149.99,4928160000,-0.00021736956824699424
15,2010-03-15,1148.53,1150.98,1141.45,1150.51,1150.51,4164110000,0.00045207564343076404
16,2010-03-16,1150.83,1160.28,1150.35,1159.46,1159.46,4369770000,0.007749057161496351
17,2010-03-17,1159.94,1169.84,1159.94,1166.21,1166.21,4963200000,0.005804795137565081
18,2010-03-18,1166.13,1167.77,1161.16,1165.83,1165.83,4234510000,-0.0003258949274998341
19,2010-03-19,1166.68,1169.2,1155.33,1159.9,1159.9,5212410000,-0.005099485194476214
20,2010-03-22,1157.25,1167.82,1152.88,1165.81,1165.81,4261680000,0.0050823298874814495
21,2010-03-23,1166.47,1174.72,1163.83,1174.17,1174.17,4411640000,0.0071453906182156945
22,2010-03-24,1172.7,1173.04,1166.01,1167.72,1167.72,4705750000,-0.005508385371629812
23,2010-03-25,1170.03,1180.69,1165.09,1165.73,1165.73,5668900000,-0.0017056294177613758
24,2010-03-26,1167.58,1173.93,1161.48,1166.59,1166.59,4708420000,0.0007374631602661291
25,2010-03-29,1167.71,1174.85,1167.71,1173.22,1173.22,4375580000,0.005667141985337086
26,2010-03-30,1173.75,1177.83,1168.92,1173.27,1173.27,4085000000,4.2616844740564804e-05
27,2010-03-31,1171.75,1174.56,1165.77,1169.43,1169.43,4484340000,-0.0032782716003415245
28,2010-04-01,1171.23,1181.43,1170.69,1178.1,1178.1,4006870000,0.00738652065793466
29,2010-04-05,1178.71,1187.73,1178.71,1187.44,1187.44,3881620000,0.007896758064435913
30,2010-04-06,1186.01,1191.8,1182.77,1189.44,1189.44,4086180000,0.0016828787923777017
31,2010-04-07,1188.23,1189.6,1177.25,1182.45,1182.45,5101430000,-0.00589405093486044
32,2010-04-08,1181.75,1188.55,1175.12,1186.44,1186.44,4726970000,0.0033686695230149477
33,2010-04-09,1187.47,1194.66,1187.15,1194.37,1194.37,4511570000,0.006661622998832402
34,2010-04-12,1194.94,1199.2,1194.71,1196.48,1196.48,4607090000,0.001765063092874738
35,2010-04-13,1195.94,1199.04,1188.82,1197.3,1197.3,5403580000,0.0006851089340489951
36,2010-04-14,1198.69,1210.65,1198.69,1210.65,1210.65,5760040000,0.01108838371569334
37,2010-04-15,1210.77,1213.92,1208.5,1211.67,1211.67,5995330000,0.000842167888871758
38,2010-04-16,1210.17,1210.17,1186.77,1192.13,1192.13,8108470000,-0.016257950246036473
